time,pid,x,y,z,intoxicated
1493735871003,BK7610,0.0811,-0.0001,0.0585,0
1493735871028,BK7610,0.0784,-0.0239999999999999,0.0745,0
1493735871053,BK7610,0.0757,-0.0479,0.0905,0
1493735871078,BK7610,0.07255,-0.04205,0.11555,0
1493735871103,BK7610,0.0694,-0.0362,0.1406,0
1493735871128,BK7610,0.06545,-0.04145,0.14055,0
1493735871153,BK7610,0.0615,-0.0467,0.1405,0
1493735871178,BK7610,0.0593,-0.0411,0.126875,0
1493735871203,BK7610,0.0571,-0.0355,0.11325,0
1493735871228,BK7610,0.0549,-0.0299,0.0996249999999999,0
1493735871253,BK7610,0.0527,-0.0243,0.086,0
1493735871278,BK7610,0.0395999999999999,-0.0510999999999999,0.0886,0
1493735871303,BK7610,0.0265,-0.0779,0.0912,0
1493735871328,BK7610,0.0183499999999999,-0.04775,0.05935,0
1493735871353,BK7610,0.0102,-0.0176,0.0275,0
1493735871378,BK7610,0.0155,0.0148499999999999,0.0016,0
1493735871403,BK7610,0.0208,0.0473,-0.0243,0
1493735871428,BK7610,0.0292499999999999,0.0369,-0.08145,0
1493735871453,BK7610,0.0377,0.0265,-0.1386,0
1493735871478,BK7610,0.0514,0.02955,-0.127275,0
1493735871503,BK7610,0.0650999999999999,0.0326,-0.11595,0
1493735871528,BK7610,0.0788,0.03565,-0.104625,0
1493735871553,BK7610,0.0925,0.0387,-0.0933,0
1493735871578,BK7610,0.0882375,0.0313375,-0.0882874999999999,0
1493735871603,BK7610,0.083975,0.023975,-0.0832749999999999,0
1493735871628,BK7610,0.0797124999999999,0.0166125,-0.0782625,0
1493735871653,BK7610,0.07545,0.00925,-0.07325,0
1493735871678,BK7610,0.0711875,0.0018875,-0.0682374999999999,0
1493735871703,BK7610,0.066925,-0.0054749999999999,-0.063225,0
1493735871728,BK7610,0.0626625,-0.0128374999999999,-0.0582125,0
1493735871753,BK7610,0.0584,-0.0202,-0.0532,0
1493735871778,BK7610,0.05386,-0.01405,-0.04906,0
1493735871803,BK7610,0.04932,-0.0078999999999999,-0.04492,0
1493735871828,BK7610,0.04478,-0.0017499999999999,-0.04078,0
1493735871853,BK7610,0.04024,0.0044,-0.03664,0
1493735871878,BK7610,0.0356999999999999,0.01055,-0.0325,0
1493735871903,BK7610,0.0311599999999999,0.0167,-0.02836,0
1493735871928,BK7610,0.0266199999999999,0.02285,-0.02422,0
1493735871953,BK7610,0.0220799999999999,0.029,-0.02008,0
1493735871978,BK7610,0.0175399999999999,0.03515,-0.01594,0
1493735872003,BK7610,0.013,0.0413,-0.0118,0
